Ticket #,Create Date,Close Date,Status
6732,2018-05-24 @ 08:58 AM,2019-09-10 @ 12:00 PM,closed
6912,2018-08-13 @ 12:35 PM,2019-02-14 @ 11:51 AM,closed
7060,2018-09-19 @ 10:07 AM,2019-01-16 @ 08:46 AM,closed
7072,2018-09-27 @ 05:11 PM,2019-02-08 @ 02:19 PM,closed
7077,2018-09-28 @ 08:37 AM,2019-05-22 @ 03:52 PM,closed
7078,2018-09-28 @ 03:23 PM,2019-07-16 @ 10:37 AM,closed
7091,2018-10-03 @ 01:04 PM,2019-03-14 @ 12:10 PM,closed
7195,2018-11-19 @ 12:53 PM,2019-06-14 @ 09:00 AM,closed
7217,2018-11-28 @ 10:00 AM,2019-03-13 @ 03:14 PM,closed
7237,2018-12-04 @ 03:57 PM,2019-02-14 @ 04:24 PM,closed
7248,2018-12-10 @ 12:01 PM,2019-03-15 @ 11:13 AM,closed
7249,2018-12-10 @ 12:01 PM,2019-09-10 @ 10:24 AM,closed
7258,2018-12-12 @ 09:13 AM,2019-02-08 @ 10:16 AM,closed
7260,2018-12-12 @ 01:56 PM,2019-02-14 @ 11:55 AM,closed
7265,2018-12-17 @ 08:18 AM,2019-01-16 @ 08:46 AM,closed
7266,2018-12-17 @ 09:46 AM,2019-02-05 @ 03:38 PM,closed
7269,2018-12-18 @ 08:40 AM,2019-02-04 @ 09:03 AM,closed
7270,2018-12-18 @ 08:46 AM,2019-02-08 @ 10:40 AM,closed
7273,2018-12-18 @ 03:03 PM,2019-02-04 @ 09:03 AM,closed
7274,2018-12-19 @ 10:43 AM,2019-02-07 @ 12:11 PM,closed
7275,2018-12-19 @ 12:29 PM,2019-02-01 @ 08:55 AM,closed
7276,2018-12-20 @ 10:32 AM,2019-01-14 @ 08:47 AM,closed
7277,2018-12-20 @ 02:07 PM,2019-02-08 @ 02:19 PM,closed
7279,2018-12-21 @ 08:45 AM,2019-02-01 @ 09:13 AM,closed
7280,2019-01-03 @ 10:30 AM,2019-02-08 @ 10:26 AM,closed
7281,2019-01-04 @ 09:56 AM,2019-01-10 @ 01:17 PM,closed
7282,2019-01-04 @ 10:16 AM,2019-02-05 @ 02:54 PM,closed
7283,2019-01-04 @ 01:06 PM,2019-01-04 @ 02:43 PM,closed
7284,2019-01-08 @ 09:10 AM,2019-01-24 @ 10:42 AM,closed
7285,2019-01-08 @ 10:50 AM,2019-01-31 @ 10:00 AM,closed
7286,2019-01-08 @ 04:33 PM,2019-01-10 @ 01:17 PM,closed
7287,2019-01-09 @ 08:31 AM,2019-01-22 @ 09:12 AM,closed
7288,2019-01-09 @ 03:18 PM,2019-01-10 @ 09:21 AM,closed
7289,2019-01-10 @ 10:36 AM,2019-01-16 @ 09:28 AM,closed
7290,2019-01-10 @ 10:41 AM,2019-01-11 @ 01:29 PM,closed
7291,2019-01-10 @ 03:26 PM,2019-01-11 @ 01:11 PM,closed
7292,2019-01-21 @ 10:38 AM,2019-01-23 @ 10:18 AM,closed
7293,2019-01-23 @ 11:52 AM,2019-01-23 @ 12:29 PM,closed
7294,2019-01-23 @ 04:05 PM,2019-01-23 @ 04:25 PM,closed
7295,2019-01-24 @ 08:39 AM,2019-01-28 @ 09:56 AM,closed
7296,2019-01-24 @ 10:59 AM,2019-01-24 @ 11:24 AM,closed
7297,2019-01-31 @ 01:18 PM,2019-02-01 @ 01:43 PM,closed
7298,2019-01-31 @ 05:22 PM,2019-02-04 @ 09:51 AM,closed
7299,2019-02-01 @ 10:30 AM,2019-02-01 @ 01:36 PM,closed
7300,2019-02-01 @ 11:03 AM,2019-02-01 @ 01:55 PM,closed
7301,2019-02-01 @ 11:05 AM,2019-02-04 @ 11:40 AM,closed
7302,2019-02-01 @ 12:15 PM,2019-02-04 @ 11:44 AM,closed
7303,2019-02-01 @ 12:22 PM,2019-02-01 @ 03:06 PM,closed
7304,2019-02-01 @ 02:52 PM,2019-02-18 @ 01:48 PM,closed
7305,2019-02-01 @ 02:55 PM,2020-10-29 @ 11:19 AM,closed
7306,2019-02-01 @ 03:02 PM,2019-02-14 @ 03:14 PM,closed
7307,2019-02-01 @ 03:06 PM,2019-02-01 @ 03:24 PM,closed
7308,2019-02-01 @ 04:14 PM,2019-02-04 @ 09:03 AM,closed
7309,2019-02-01 @ 05:18 PM,2019-02-06 @ 09:50 AM,closed
7310,2019-02-04 @ 08:48 AM,2019-02-06 @ 02:27 PM,closed
7311,2019-02-04 @ 08:55 AM,2019-02-04 @ 09:42 AM,closed
7312,2019-02-04 @ 09:05 AM,2019-03-15 @ 11:11 AM,closed
7313,2019-02-04 @ 09:40 AM,2019-02-04 @ 11:40 AM,closed
7314,2019-02-04 @ 11:11 AM,2019-02-05 @ 08:48 AM,closed
7315,2019-02-04 @ 11:12 AM,2019-02-19 @ 11:48 AM,closed
7316,2019-02-04 @ 01:15 PM,2019-02-07 @ 11:37 AM,closed
7317,2019-02-04 @ 02:45 PM,2019-02-05 @ 02:41 PM,closed
7318,2019-02-05 @ 07:28 AM,2019-02-05 @ 08:35 AM,closed
7319,2019-02-05 @ 08:47 AM,2019-02-05 @ 09:02 AM,closed
7320,2019-02-05 @ 10:27 AM,2019-02-05 @ 11:00 AM,closed
7321,2019-02-05 @ 11:19 AM,2019-02-05 @ 11:28 AM,closed
7322,2019-02-05 @ 12:12 PM,2019-02-05 @ 02:15 PM,closed
7323,2019-02-05 @ 02:00 PM,2019-02-05 @ 02:39 PM,closed
7324,2019-02-05 @ 02:28 PM,2019-02-05 @ 02:34 PM,closed
7325,2019-02-06 @ 08:18 AM,2019-02-08 @ 10:03 AM,closed
7326,2019-02-06 @ 08:43 AM,2019-02-06 @ 08:57 AM,closed
7327,2019-02-06 @ 09:04 AM,2019-02-06 @ 10:54 AM,closed
7328,2019-02-06 @ 09:10 AM,2019-02-06 @ 11:08 AM,closed
7329,2019-02-06 @ 03:11 PM,2019-02-07 @ 05:28 PM,closed
7330,2019-02-07 @ 07:28 AM,2019-02-07 @ 09:13 AM,closed
7331,2019-02-07 @ 10:34 AM,2019-02-07 @ 11:02 AM,closed
7332,2019-02-07 @ 10:58 AM,2019-02-07 @ 11:36 AM,closed
7333,2019-02-07 @ 11:05 AM,2019-02-07 @ 11:18 AM,closed
7334,2019-02-07 @ 04:05 PM,2019-02-07 @ 04:22 PM,closed
7335,2019-02-08 @ 09:18 AM,2019-02-08 @ 10:02 AM,closed
7336,2019-02-08 @ 10:51 AM,2019-02-08 @ 11:31 AM,closed
7337,2019-02-08 @ 11:33 AM,2019-02-08 @ 11:50 AM,closed
7338,2019-02-11 @ 08:48 AM,2019-02-11 @ 12:06 PM,closed
7339,2019-02-11 @ 08:54 AM,2019-02-11 @ 03:21 PM,closed
7340,2019-02-11 @ 09:43 AM,2019-04-02 @ 12:29 PM,closed
7341,2019-02-11 @ 11:45 AM,2019-02-11 @ 12:19 PM,closed
7342,2019-02-11 @ 12:45 PM,2019-02-14 @ 04:23 PM,closed
7343,2019-02-11 @ 01:57 PM,2019-02-12 @ 01:16 PM,closed
7344,2019-02-11 @ 02:03 PM,2019-02-11 @ 02:22 PM,closed
7345,2019-02-11 @ 02:33 PM,2019-02-11 @ 02:35 PM,closed
7346,2019-02-11 @ 02:36 PM,2019-02-11 @ 02:40 PM,closed
7347,2019-02-11 @ 03:18 PM,2019-02-11 @ 03:33 PM,closed
7348,2019-02-12 @ 08:28 AM,2019-02-12 @ 09:27 AM,closed
7349,2019-02-12 @ 10:33 AM,2019-02-13 @ 09:24 AM,closed
7350,2019-02-12 @ 01:45 PM,2019-02-12 @ 03:22 PM,closed
7351,2019-02-12 @ 02:12 PM,2019-02-15 @ 09:22 AM,closed
7352,2019-02-12 @ 02:21 PM,2019-02-18 @ 01:47 PM,closed
7353,2019-02-13 @ 08:19 AM,2019-02-13 @ 03:15 PM,closed
7354,2019-02-13 @ 11:08 AM,2019-02-13 @ 03:14 PM,closed
